start_date,end_date,country,indicator,value,frequency,currency
01/01/1960,31/12/1960,USA,inflation,1.457975986,annual,USD
01/01/1961,31/12/1961,USA,inflation,1.070724148,annual,USD
01/01/1962,31/12/1962,USA,inflation,1.198773348,annual,USD
01/01/1963,31/12/1963,USA,inflation,1.239669421,annual,USD
01/01/1964,31/12/1964,USA,inflation,1.278911565,annual,USD
01/01/1965,31/12/1965,USA,inflation,1.585169264,annual,USD
01/01/1966,31/12/1966,USA,inflation,3.015075377,annual,USD
01/01/1967,31/12/1967,USA,inflation,2.772785623,annual,USD
01/01/1968,31/12/1968,USA,inflation,4.271796153,annual,USD
01/01/1969,31/12/1969,USA,inflation,5.4623862,annual,USD
01/01/1970,31/12/1970,USA,inflation,5.838255338,annual,USD
01/01/1971,31/12/1971,USA,inflation,4.292766688,annual,USD
01/01/1972,31/12/1972,USA,inflation,3.272278247,annual,USD
01/01/1973,31/12/1973,USA,inflation,6.177760064,annual,USD
01/01/1974,31/12/1974,USA,inflation,11.0548048,annual,USD
01/01/1975,31/12/1975,USA,inflation,9.143146865,annual,USD
01/01/1976,31/12/1976,USA,inflation,5.744812635,annual,USD
01/01/1977,31/12/1977,USA,inflation,6.501683995,annual,USD
01/01/1978,31/12/1978,USA,inflation,7.630963839,annual,USD
01/01/1979,31/12/1979,USA,inflation,11.25447113,annual,USD
01/01/1980,31/12/1980,USA,inflation,13.54920197,annual,USD
01/01/1981,31/12/1981,USA,inflation,10.33471534,annual,USD
01/01/1982,31/12/1982,USA,inflation,6.131427,annual,USD
01/01/1983,31/12/1983,USA,inflation,3.212435233,annual,USD
01/01/1984,31/12/1984,USA,inflation,4.300535475,annual,USD
01/01/1985,31/12/1985,USA,inflation,3.545644152,annual,USD
01/01/1986,31/12/1986,USA,inflation,1.898047722,annual,USD
01/01/1987,31/12/1987,USA,inflation,3.664563218,annual,USD
01/01/1988,31/12/1988,USA,inflation,4.077741107,annual,USD
01/01/1989,31/12/1989,USA,inflation,4.82700303,annual,USD
01/01/1990,31/12/1990,USA,inflation,5.39795644,annual,USD
01/01/1991,31/12/1991,USA,inflation,4.234963965,annual,USD
01/01/1992,31/12/1992,USA,inflation,3.028819678,annual,USD
01/01/1993,31/12/1993,USA,inflation,2.951656966,annual,USD
01/01/1994,31/12/1994,USA,inflation,2.607441592,annual,USD
01/01/1995,31/12/1995,USA,inflation,2.805419689,annual,USD
01/01/1996,31/12/1996,USA,inflation,2.9312042,annual,USD
01/01/1997,31/12/1997,USA,inflation,2.337689937,annual,USD
01/01/1998,31/12/1998,USA,inflation,1.552279099,annual,USD
01/01/1999,31/12/1999,USA,inflation,2.188027197,annual,USD
01/01/2000,31/12/2000,USA,inflation,3.376857271,annual,USD
01/01/2001,31/12/2001,USA,inflation,2.826171119,annual,USD
01/01/2002,31/12/2002,USA,inflation,1.586031627,annual,USD
01/01/2003,31/12/2003,USA,inflation,2.270094973,annual,USD
01/01/2004,31/12/2004,USA,inflation,2.677236693,annual,USD
01/01/2005,31/12/2005,USA,inflation,3.392746845,annual,USD
01/01/2006,31/12/2006,USA,inflation,3.225944101,annual,USD
01/01/2007,31/12/2007,USA,inflation,2.852672482,annual,USD
01/01/2008,31/12/2008,USA,inflation,3.839100297,annual,USD
01/01/2009,31/12/2009,USA,inflation,-0.355546266,annual,USD
01/01/2010,31/12/2010,USA,inflation,1.640043442,annual,USD
01/01/2011,31/12/2011,USA,inflation,3.156841569,annual,USD
01/01/2012,31/12/2012,USA,inflation,2.069337265,annual,USD
01/01/2013,31/12/2013,USA,inflation,1.464832656,annual,USD
01/01/2014,31/12/2014,USA,inflation,1.622222977,annual,USD
01/01/2015,31/12/2015,USA,inflation,0.118627136,annual,USD
01/01/2016,31/12/2016,USA,inflation,1.261583206,annual,USD
01/01/2017,31/12/2017,USA,inflation,2.130110004,annual,USD
01/01/2018,31/12/2018,USA,inflation,2.442583297,annual,USD
01/01/2019,31/12/2019,USA,inflation,1.812210075,annual,USD
